school,date,duration,people,level,price
chase4snow,2026-11-15,full,4,3,89000
snowandflow,2026-11-15,full,4,3,0
pinnacle,2026-11-15,full,4,3,95000
fuyu,2026-11-15,full,4,3,0
baddies,2026-11-15,full,4,3,0
gosnow,2026-11-15,full,4,3,0
niss,2026-11-15,full,4,3,0
snowman,2026-11-15,full,4,3,NA
chase4snow,2026-11-15,full,5,0,93000
snowandflow,2026-11-15,full,5,0,0
pinnacle,2026-11-15,full,5,0,75000
fuyu,2026-11-15,full,5,0,0
baddies,2026-11-15,full,5,0,0
gosnow,2026-11-15,full,5,0,0
niss,2026-11-15,full,5,0,0
snowman,2026-11-15,full,5,0,NA
chase4snow,2026-11-15,full,5,1,103000
snowandflow,2026-11-15,full,5,1,0
pinnacle,2026-11-15,full,5,1,82000
fuyu,2026-11-15,full,5,1,0
baddies,2026-11-15,full,5,1,0
gosnow,2026-11-15,full,5,1,0
niss,2026-11-15,full,5,1,0
snowman,2026-11-15,full,5,1,NA
chase4snow,2026-11-15,full,5,2,103000
snowandflow,2026-11-15,full,5,2,0
pinnacle,2026-11-15,full,5,2,82000
fuyu,2026-11-15,full,5,2,0
baddies,2026-11-15,full,5,2,0
gosnow,2026-11-15,full,5,2,0
niss,2026-11-15,full,5,2,0
snowman,2026-11-15,full,5,2,NA
chase4snow,2026-11-15,full,5,3,104000
snowandflow,2026-11-15,full,5,3,0
pinnacle,2026-11-15,full,5,3,95000
fuyu,2026-11-15,full,5,3,0
baddies,2026-11-15,full,5,3,0
gosnow,2026-11-15,full,5,3,0
niss,2026-11-15,full,5,3,0
snowman,2026-11-15,full,5,3,NA
chase4snow,2026-11-15,full,6,0,108000
snowandflow,2026-11-15,full,6,0,0
pinnacle,2026-11-15,full,6,0,75000
fuyu,2026-11-15,full,6,0,0
baddies,2026-11-15,full,6,0,0
gosnow,2026-11-15,full,6,0,0
niss,2026-11-15,full,6,0,0
snowman,2026-11-15,full,6,0,NA
chase4snow,2026-11-15,full,6,1,118000
snowandflow,2026-11-15,full,6,1,0
pinnacle,2026-11-15,full,6,1,82000
fuyu,2026-11-15,full,6,1,0
baddies,2026-11-15,full,6,1,0
gosnow,2026-11-15,full,6,1,0
niss,2026-11-15,full,6,1,0
snowman,2026-11-15,full,6,1,NA
chase4snow,2026-11-15,full,6,2,118000
snowandflow,2026-11-15,full,6,2,0
pinnacle,2026-11-15,full,6,2,82000
fuyu,2026-11-15,full,6,2,0
baddies,2026-11-15,full,6,2,0
gosnow,2026-11-15,full,6,2,0
niss,2026-11-15,full,6,2,0
snowman,2026-11-15,full,6,2,NA
chase4snow,2026-11-15,full,6,3,119000
snowandflow,2026-11-15,full,6,3,0
pinnacle,2026-11-15,full,6,3,95000
fuyu,2026-11-15,full,6,3,0
baddies,2026-11-15,full,6,3,0
gosnow,2026-11-15,full,6,3,0
niss,2026-11-15,full,6,3,0
snowman,2026-11-15,full,6,3,NA
chase4snow,2026-11-16,half,1,0,48000
snowandflow,2026-11-16,half,1,0,42000
pinnacle,2026-11-16,half,1,0,45000
fuyu,2026-11-16,half,1,0,0
baddies,2026-11-16,half,1,0,81000
gosnow,2026-11-16,half,1,0,0
niss,2026-11-16,half,1,0,0
snowman,2026-11-16,half,1,0,NA
chase4snow,2026-11-16,half,1,1,54000
snowandflow,2026-11-16,half,1,1,47000
pinnacle,2026-11-16,half,1,1,51000
fuyu,2026-11-16,half,1,1,0
baddies,2026-11-16,half,1,1,89000
gosnow,2026-11-16,half,1,1,0
niss,2026-11-16,half,1,1,0
snowman,2026-11-16,half,1,1,NA
chase4snow,2026-11-16,half,1,2,54000
snowandflow,2026-11-16,half,1,2,47000
pinnacle,2026-11-16,half,1,2,51000
fuyu,2026-11-16,half,1,2,0
baddies,2026-11-16,half,1,2,89000
gosnow,2026-11-16,half,1,2,0
niss,2026-11-16,half,1,2,0
snowman,2026-11-16,half,1,2,NA
chase4snow,2026-11-16,half,1,3,55000
snowandflow,2026-11-16,half,1,3,0
pinnacle,2026-11-16,half,1,3,60000
fuyu,2026-11-16,half,1,3,0
baddies,2026-11-16,half,1,3,0
gosnow,2026-11-16,half,1,3,0
niss,2026-11-16,half,1,3,0
snowman,2026-11-16,half,1,3,NA
chase4snow,2026-11-16,half,2,0,48000
snowandflow,2026-11-16,half,2,0,46000
pinnacle,2026-11-16,half,2,0,45000
fuyu,2026-11-16,half,2,0,0
baddies,2026-11-16,half,2,0,81000
gosnow,2026-11-16,half,2,0,0
niss,2026-11-16,half,2,0,0
snowman,2026-11-16,half,2,0,NA
chase4snow,2026-11-16,half,2,1,54000
snowandflow,2026-11-16,half,2,1,51000
pinnacle,2026-11-16,half,2,1,51000
fuyu,2026-11-16,half,2,1,0
baddies,2026-11-16,half,2,1,89000
